query_name	GCF_002073555.2_ASM207355v2_genomic.fna
GCF_002073275.2_ASM207327v2_genomic.fna;0	0
GCF_002073275.2_ASM207327v2_genomic.fna;1	0
GCF_002073275.2_ASM207327v2_genomic.fna;2	0
GCF_002073275.2_ASM207327v2_genomic.fna;3	0
GCF_002073275.2_ASM207327v2_genomic.fna;4	1
GCF_002073275.2_ASM207327v2_genomic.fna;5	0
GCF_002073275.2_ASM207327v2_genomic.fna;6	1
GCF_002073555.2_ASM207355v2_genomic.fna;0	1
GCF_002073555.2_ASM207355v2_genomic.fna;1	1
GCF_002073555.2_ASM207355v2_genomic.fna;2	1
GCF_002073555.2_ASM207355v2_genomic.fna;3	1
GCF_002073555.2_ASM207355v2_genomic.fna;4	1
GCF_002073555.2_ASM207355v2_genomic.fna;5	1
GCF_002073555.2_ASM207355v2_genomic.fna;6	1
GCF_002073555.2_ASM207355v2_genomic.fna;7	1
GCF_900638605.1_58116_G01_genomic.fna;0	0
GCF_900638605.1_58116_G01_genomic.fna;1	0
GCF_900638605.1_58116_G01_genomic.fna;2	0
GCF_900638605.1_58116_G01_genomic.fna;3	0
GCF_900638605.1_58116_G01_genomic.fna;4	0
GCF_900638605.1_58116_G01_genomic.fna;5	0
GCF_900638605.1_58116_G01_genomic.fna;6	0
GCF_900638605.1_58116_G01_genomic.fna;7	0
GCF_900638605.1_58116_G01_genomic.fna;8	0
GCF_900638605.1_58116_G01_genomic.fna;9	0
GCF_900638605.1_58116_G01_genomic.fna;10	0
GCF_900638605.1_58116_G01_genomic.fna;11	1
GCF_900638605.1_58116_G01_genomic.fna;12	0
GCF_900638605.1_58116_G01_genomic.fna;13	1
